iter	Passed	Remaining
0	72	72745
1	131	65808
2	194	64626
3	265	66120
4	330	65823
5	400	66266
6	486	69070
7	555	68920
8	640	70577
9	712	70543
10	781	70234
11	843	69426
12	900	68373
13	953	67137
14	1010	66335
15	1067	65651
16	1122	64885
17	1178	64271
18	1233	63662
19	1291	63283
20	1347	62803
21	1408	62626
22	1462	62113
23	1516	61675
24	1578	61573
25	1638	61369
26	1684	60688
27	1729	60053
28	1787	59840
29	1858	60083
30	1915	59888
31	1970	59613
32	2023	59303
33	2071	58846
34	2129	58713
35	2190	58662
36	2245	58451
37	2309	58460
38	2366	58308
39	2423	58160
40	2477	57939
41	2531	57750
42	2596	57790
43	2649	57571
44	2706	57445
45	2762	57291
46	2820	57185
47	2885	57224
48	2949	57244
49	3007	57141
50	3068	57102
51	3128	57037
52	3181	56855
53	3236	56692
54	3283	56418
55	3336	56248
56	3402	56298
57	3452	56073
58	3513	56041
59	3576	56026
60	3628	55853
61	3683	55729
62	3735	55555
63	3793	55477
64	3844	55304
65	3899	55177
66	3951	55025
67	4010	54974
68	4056	54738
69	4111	54617
70	4162	54462
71	4222	54424
72	4271	54247
73	4336	54258
74	4400	54267
75	4461	54236
76	4513	54106
77	4574	54077
78	4625	53920
79	4678	53803
80	4734	53717
81	4794	53673
82	4845	53535
83	4907	53518
84	4979	53606
85	5050	53677
86	5106	53592
87	5169	53569
88	5233	53572
89	5293	53528
90	5349	53438
91	5408	53380
92	5469	53340
93	5546	53458
94	5606	53406
95	5663	53331
96	5726	53307
97	5786	53255
98	5840	53153
99	5892	53028
100	5967	53118
101	6037	53151
102	6086	53008
103	6143	52929
104	6192	52780
105	6253	52739
106	6312	52683
107	6378	52683
108	6448	52712
109	6516	52727
110	6583	52723
111	6645	52686
112	6695	52557
113	6760	52542
114	6824	52518
115	6887	52486
116	6941	52390
117	7002	52339
118	7064	52297
119	7117	52198
120	7173	52114
121	7229	52029
122	7289	51971
123	7342	51872
124	7386	51703
125	7438	51597
126	7506	51598
127	7562	51518
128	7625	51484
129	7677	51381
130	7740	51347
131	7806	51330
132	7865	51273
133	7919	51178
